2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60544) target=alive.github.com:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60503) target=yandex.com:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60546) target=api.github.com:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60548) target=www.perplexity.ai:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60490) target=yandex.com:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60553) target=www.perplexity.ai:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60558) target=collector.github.com:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60552) target=www.perplexity.ai:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60550) target=www.perplexity.ai:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60554) target=www.perplexity.ai:443
2026-03-14T21:27:47 CONNECT_OK peer=('127.0.0.1', 60561) target=suggest.perplexity.ai:443
2026-03-14T21:27:48 CONNECT_OK peer=('127.0.0.1', 60566) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:48 CONNECT_OK peer=('127.0.0.1', 60569) target=perplexity-ai.cloudflareaccess.com:443
2026-03-14T21:27:48 CONNECT_OK peer=('127.0.0.1', 60571) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:48 CONNECT_OK peer=('127.0.0.1', 60565) target=browser-intake-datadoghq.com:443
2026-03-14T21:27:48 CONNECT_OK peer=('127.0.0.1', 60563) target=count.perplexity.ai:443
2026-03-14T21:27:48 CONNECT_OK peer=('127.0.0.1', 60573) target=perplexity-ai.cloudflareaccess.com:443
2026-03-14T21:27:49 CONNECT_OK peer=('127.0.0.1', 60577) target=csp.yandex.net:443
2026-03-14T21:27:49 CONNECT_OK peer=('127.0.0.1', 60583) target=core-pht-proxy.maps.yandex.ru:443
2026-03-14T21:27:49 CONNECT_OK peer=('127.0.0.1', 60593) target=github.com:443
2026-03-14T21:27:49 CONNECT_OK peer=('127.0.0.1', 60587) target=www.avito.ru:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60589) target=cdn.uxfeedback.ru:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60585) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60579) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60595) target=content-autofill.googleapis.com:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60580) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60575) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60597) target=github.com:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60588) target=www.avito.st:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60601) target=ac7cd8a1feb9.w.hcaptcha.com:443
2026-03-14T21:27:50 CONNECT_OK peer=('127.0.0.1', 60599) target=28950ee3b577.w.hcaptcha.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60603) target=api.hcaptcha.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60609) target=avatars.githubusercontent.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60607) target=github.githubassets.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60605) target=content-autofill.googleapis.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60611) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60615) target=www.youtube.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60616) target=fonts.googleapis.com:443
2026-03-14T21:27:51 CONNECT_OK peer=('127.0.0.1', 60613) target=alive.github.com:443
2026-03-14T21:27:52 CONNECT_OK peer=('127.0.0.1', 60619) target=ogads-pa.clients6.google.com:443
2026-03-14T21:27:52 CONNECT_OK peer=('127.0.0.1', 60621) target=waa-pa.clients6.google.com:443
2026-03-14T21:27:52 CONNECT_OK peer=('127.0.0.1', 60623) target=content-autofill.googleapis.com:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60625) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60627) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60631) target=www.perplexity.ai:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60633) target=content-autofill.googleapis.com:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60635) target=fonts.gstatic.com:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60629) target=api.passport.yandex.com:443
2026-03-14T21:27:53 CONNECT_OK peer=('127.0.0.1', 60639) target=waa-pa.clients6.google.com:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60641) target=optimizationguide-pa.googleapis.com:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60643) target=update.googleapis.com:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60645) target=content-autofill.googleapis.com:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60637) target=ogads-pa.clients6.google.com:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60647) target=www.avito.ru:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60659) target=yastatic.net:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60655) target=www.avito.st:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60648) target=www.avito.st:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60656) target=www.google-analytics.com:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60649) target=cdn.uxfeedback.ru:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60661) target=sntr.avito.ru:443
2026-03-14T21:27:54 CONNECT_OK peer=('127.0.0.1', 60665) target=content-autofill.googleapis.com:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60663) target=stats.avito.ru:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60653) target=apps.bdimg.com:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60667) target=stats.avito.ru:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60669) target=content-autofill.googleapis.com:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60674) target=sntr.avito.ru:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60676) target=sntr.avito.ru:443
2026-03-14T21:27:55 CONNECT_OK peer=('127.0.0.1', 60678) target=sntr.avito.ru:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60672) target=stats.avito.ru:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60680) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60682) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60685) target=p.typekit.net:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60690) target=use.typekit.net:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60686) target=website-cdn.assets.ipinfo.io:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60694) target=appsgrowthpromo-pa.clients6.google.com:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60684) target=ipinfo.io:443
2026-03-14T21:27:56 CONNECT_OK peer=('127.0.0.1', 60692) target=cs.avito.ru:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60696) target=widget-api.uxfeedback.ru:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60699) target=rr4---sn-q4flrnld.googlevideo.com:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60700) target=rr4---sn-q4flrnld.googlevideo.com:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60713) target=www.perplexity.ai:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60707) target=appsgrowthpromo-pa.clients6.google.com:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60705) target=stats.avito.ru:443
